area_type,availability,location,size,total_sqft,bath,balcony,price,bhk
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,4.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,3.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,3.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200.0,2.0,1.0,51.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,2.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732.0,4.0,2.0,204.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300.0,4.0,2.0,600.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,3.0
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020.0,6.0,2.0,370.0,6.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0,3.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,2.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,2.0,40.0,2.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,3.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0,2.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,600.0,1.0,1.0,15.0,1.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,3.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,4.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,1.0,103.0,3.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,510.0,1.0,0.0,25.25,1.0
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1,2.0
Built-up  Area,20-Dec,Whitefield,3 BHK,1610.0,3.0,2.0,81.0,3.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,3.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475.0,4.0,0.0,186.0,4.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,3.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3.0
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925.0,3.0,2.0,125.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,2.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,2.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296.0,2.0,2.0,81.0,2.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,1.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,1.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,2.0
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600.0,9.0,2.0,200.0,8.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,2.0
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,2.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,2.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,3.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,3.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,2.0
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3210.0,2.0,2.0,192.0,4.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0,2.0
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0,6.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0,2.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,240.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,2.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,4.0
Built-up  Area,Ready To Move,Varthur,2 BHK,1160.0,2.0,2.0,44.0,2.0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0,8.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0,2.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140.0,2.0,3.0,43.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0,2.0
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,85.0,8.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68,2.0
Plot  Area,Ready To Move,Double Road,3 Bedroom,500.0,3.0,2.0,100.0,3.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358.0,2.0,1.0,80.58,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,3.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206.0,2.0,1.0,48.23,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,2.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205.0,3.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22.0,2.0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0,6.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0,3.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,3203.5,2.0,2.0,224.5,4.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,3.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,3.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0,6.0
